PLAYER,TEAM,MIN,AST per game,AST per 75 poss,Wght AST per game,Wght AST per 75 poss,Wght AST per touch,Wght AST per 75 touches,AST Value
Mikal Bridges,PHX,2417.0,2.11,2.58,2.37,2.9,0.06,4.75,1.13
Mike Conley,MEM,2342.0,6.41,7.21,7.36,8.27,0.09,6.63,1.15
Mike Muscala,LAL,1288.0,1.19,2.05,1.42,2.45,0.04,2.83,1.2
Mike Scott,PHI,1396.0,0.84,1.67,0.87,1.73,0.03,2.51,1.04
Miles Bridges,CHA,1696.0,1.19,2.05,1.37,2.36,0.05,3.9,1.15
Mitchell Robinson,NYK,1350.0,0.57,1.0,0.54,0.94,0.02,1.71,0.94
Mo Bamba,ORL,733.0,0.78,1.9,0.83,2.04,0.03,2.38,1.07
Monte Morris,DEN,1970.0,3.62,5.62,3.86,5.98,0.07,5.41,1.06
Montrezl Harrell,LAC,2158.0,1.98,2.65,2.16,2.9,0.04,3.37,1.09
Myles Turner,IND,2119.0,1.55,2.02,1.64,2.13,0.03,2.44,1.06
Nemanja Bjelica,SAC,1788.0,1.91,2.88,2.16,3.26,0.05,4.08,1.13
Nerlens Noel,OKC,1043.0,0.59,1.54,0.68,1.76,0.03,2.39,1.14
Nicolas Batum,CHA,2354.0,3.29,3.86,3.55,4.17,0.08,6.05,1.08
Nik Stauskas,CLE,1015.0,1.19,2.92,1.35,3.31,0.07,4.95,1.14
Nikola Jokic,DEN,2504.0,7.25,8.6,7.86,9.32,0.08,6.3,1.08
Nikola Mirotic,MIL,1245.0,1.2,1.53,1.33,1.7,0.03,2.06,1.12
Nikola Vucevic,ORL,2447.0,3.85,4.51,4.39,5.15,0.06,4.67,1.14
Noah Vonleh,NYK,1697.0,1.91,2.73,1.95,2.78,0.04,2.97,1.02
Norman Powell,TOR,1126.0,1.52,2.89,1.65,3.15,0.06,4.55,1.09
OG Anunoby,TOR,1352.0,0.7,1.25,0.82,1.46,0.03,2.52,1.17
Omari Spellman,ATL,805.0,1.02,2.03,1.19,2.37,0.04,2.72,1.17
Otto Porter Jr.,CHI,1649.0,2.18,2.54,2.65,3.08,0.06,4.57,1.22
P.J. Tucker,HOU,2802.0,1.17,1.28,1.32,1.44,0.04,2.78,1.13
Pascal Siakam,TOR,2548.0,3.1,3.53,3.45,3.93,0.06,4.38,1.11
Pat Connaughton,MIL,1261.0,2.0,3.41,2.18,3.71,0.07,5.37,1.09
Patrick Beverley,LAC,2137.0,3.85,5.04,4.36,5.71,0.09,6.69,1.13
Patrick Patterson,OKC,847.0,0.48,1.27,0.54,1.43,0.03,2.13,1.12
Patty Mills,SAS,1908.0,2.99,4.63,3.15,4.87,0.07,5.52,1.05
Paul George,OKC,2801.0,4.12,3.94,4.9,4.68,0.08,6.15,1.19
Paul Millsap,DEN,1895.0,2.01,2.75,2.23,3.05,0.05,4.03,1.11
Quinn Cook,GSW,1059.0,1.57,4.01,1.64,4.2,0.05,3.73,1.05
Rajon Rondo,LAL,1369.0,7.98,9.42,8.75,10.33,0.12,9.2,1.1
Reggie Bullock,LAL,1879.0,2.05,2.49,2.15,2.61,0.06,4.14,1.05
Reggie Jackson,DET,2289.0,4.2,5.6,4.9,6.53,0.07,5.29,1.17
Richaun Holmes,PHX,1184.0,0.86,1.84,0.88,1.88,0.04,2.78,1.02
Ricky Rubio,UTA,1867.0,6.15,7.92,7.45,9.6,0.1,7.67,1.21
Robert Covington,MIN,1203.0,1.31,1.39,1.51,1.59,0.04,2.83,1.15
Robin Lopez,CHI,1578.0,1.22,2.03,1.29,2.15,0.05,3.39,1.06
Rodions Kurucs,BKN,1294.0,0.83,1.39,1.02,1.72,0.04,2.76,1.24
Rodney Hood,POR,1893.0,1.75,2.5,1.92,2.75,0.06,4.19,1.1
Rodney McGruder,LAC,1550.0,1.7,2.64,1.98,3.09,0.06,4.66,1.17
Rondae Hollis-Jefferson,BKN,1234.0,1.63,2.77,1.81,3.07,0.04,3.12,1.11
Royce O'Neale,UTA,1660.0,1.51,2.69,1.93,3.45,0.08,5.68,1.28
Rudy Gay,SAS,1842.0,2.64,3.65,2.63,3.64,0.05,4.01,1.0
Rudy Gobert,UTA,2544.0,1.99,2.26,2.13,2.42,0.04,2.68,1.07
Russell Westbrook,OKC,2593.0,10.81,10.37,12.39,11.89,0.14,10.2,1.15
Ryan Arcidiacono,CHI,1939.0,3.3,5.07,3.47,5.32,0.08,6.17,1.05
Sam Dekker,WAS,769.0,0.96,2.12,1.18,2.62,0.05,3.75,1.23
Serge Ibaka,TOR,2010.0,1.34,1.8,1.45,1.95,0.03,2.31,1.08
Seth Curry,POR,1399.0,0.89,1.74,0.98,1.91,0.04,2.97,1.1
Shabazz Napier,BKN,983.0,2.55,5.25,3.0,6.18,0.08,6.16,1.18
Shai Gilgeous-Alexander,LAC,2174.0,3.29,4.43,3.64,4.9,0.07,5.08,1.11
Shaquille Harrison,CHI,1417.0,1.92,3.55,2.12,3.94,0.06,4.79,1.11
Shaun Livingston,GSW,967.0,1.78,4.33,1.99,4.84,0.07,5.07,1.12
Shelvin Mack,CHA,1247.0,3.21,5.54,3.61,6.23,0.07,5.16,1.12
Solomon Hill,NOP,879.0,1.25,2.21,1.46,2.58,0.05,3.93,1.17
Spencer Dinwiddie,BKN,1914.0,4.57,5.82,5.13,6.53,0.09,6.57,1.12
Stanley Johnson,NOP,1207.0,1.33,2.64,1.48,2.92,0.04,3.21,1.11
Stephen Curry,GSW,2331.0,5.23,5.42,5.88,6.09,0.08,5.74,1.12
Sterling Brown,MIL,1034.0,1.45,2.84,1.59,3.12,0.07,5.24,1.1
Steven Adams,OKC,2634.0,1.53,1.62,1.8,1.9,0.04,3.0,1.17
T.J. McConnell,PHI,1451.0,3.37,6.32,3.77,7.07,0.08,6.18,1.12
T.J. Warren,PHX,1360.0,1.49,1.69,1.7,1.93,0.03,2.08,1.14
Taj Gibson,MIN,1686.0,1.2,1.8,1.25,1.88,0.03,2.38,1.04
