PLAYER,TEAM,MIN,AST per game,Opt. AST per game,AST per 75 poss,Opt. AST per 75 poss,Passing Production Rating Percentile
LeBron James,LAL,2316,10.21,12.96,10.71,13.6,1.0
T.J. McConnell,IND,1326,5.0,6.63,9.66,12.82,0.997
Ricky Rubio,PHX,1979,8.7,10.98,10.04,12.58,0.994
Luka Doncic,DAL,1973,8.76,11.52,9.48,12.39,0.991
Elfrid Payton,NYK,1246,7.18,9.37,9.45,12.34,0.988
Trae Young,ATL,2120,9.33,12.44,9.17,12.23,0.984
Rajon Rondo,LAL,984,5.0,6.64,8.85,11.75,0.981
Draymond Green,GSW,1222,6.19,8.23,7.75,10.32,0.978
Nikola Jokic,DEN,2335,7.01,8.73,8.25,10.26,0.975
Ben Simmons,PHI,2017,7.98,10.61,8.15,10.84,0.972
Tyus Jones,MEM,1232,4.38,5.71,8.04,10.47,0.969
James Harden,HOU,2483,7.53,10.42,7.29,10.09,0.966
Ja Morant,MEM,2074,7.28,9.47,8.33,10.83,0.962
Jeff Teague,ATL,1464,5.22,7.3,7.4,10.34,0.959
Devonte' Graham,CHA,2179,7.53,10.19,8.04,10.96,0.956
Chris Paul,OKC,2208,6.74,8.94,7.83,10.39,0.953
Lonzo Ball,NOP,1985,6.97,9.18,7.54,9.96,0.95
Malcolm Brogdon,IND,1666,7.06,8.83,8.45,10.58,0.947
Derrick Rose,DET,1272,5.59,7.64,7.75,10.64,0.944
De'Aaron Fox,SAC,1604,6.88,9.23,7.61,10.29,0.941
Spencer Dinwiddie,BKN,1994,6.75,8.85,7.79,10.22,0.938
Matthew Dellavedova,CLE,821,3.16,3.87,8.05,9.86,0.934
Kyrie Irving,BKN,658,6.4,9.26,6.83,9.89,0.931
Kyle Lowry,TOR,2063,7.46,9.79,7.38,9.69,0.928
Russell Westbrook,HOU,2049,7.04,9.84,6.7,9.37,0.925
Damian Lillard,POR,2436,8.03,10.43,7.64,9.92,0.922
D'Angelo Russell,MIN,1452,6.33,8.82,6.87,9.57,0.919
Tomas Satoransky,CHI,1878,5.45,7.48,6.84,9.4,0.916
Devin Booker,PHX,2512,6.51,8.85,6.47,8.79,0.912
Jrue Holiday,NOP,2080,6.7,8.85,6.75,8.93,0.909
Jalen Brunson,DAL,1007,3.29,4.47,6.76,9.16,0.906
Markelle Fultz,ORL,1996,5.12,7.24,6.75,9.55,0.903
Eric Bledsoe,MIL,1615,5.38,7.09,6.77,8.92,0.9
Fred VanVleet,TOR,1928,6.61,8.85,6.71,8.98,0.897
Joe Ingles,UTA,2137,5.18,6.85,6.43,8.51,0.894
Shabazz Napier,WAS,1345,4.68,6.15,6.89,9.06,0.891
D.J. Augustin,ORL,1420,4.6,6.46,6.79,9.54,0.888
Giannis Antetokounmpo,MIL,1885,5.61,7.61,6.32,8.55,0.884
Ish Smith,WAS,1787,4.91,6.63,6.57,8.87,0.881
Goran Dragic,MIA,1632,5.07,6.89,6.6,8.91,0.878
Jimmy Butler,MIA,1959,6.03,7.83,6.63,8.6,0.875
Lou Williams,LAC,1864,5.62,7.12,6.82,8.65,0.872
Bradley Beal,WAS,2053,6.09,8.03,5.95,7.85,0.869
DeMar DeRozan,SAS,2282,5.63,7.48,5.96,7.97,0.866
Delon Wright,DAL,1545,3.32,4.63,5.67,7.85,0.862
Bam Adebayo,MIA,2382,5.08,6.68,5.68,7.43,0.859
Reggie Jackson,LAC,743,4.06,5.27,6.28,8.14,0.856
Kawhi Leonard,LAC,1848,4.91,6.7,5.51,7.52,0.853
Caris LeVert,BKN,1330,4.42,6.06,5.37,7.36,0.85
Frank Ntilikina,NYK,1187,3.02,4.24,5.41,7.6,0.847
Mason Plumlee,DEN,1057,2.52,3.16,5.38,6.75,0.844
Elie Okobo,PHX,703,2.11,2.68,5.87,7.53,0.841
Monte Morris,DEN,1637,3.49,4.49,5.73,7.37,0.838
